cog-z,cog-y,cog-x,leftknee-z,leftknee-y,leftknee-x,rightknee-z,rightknee-y,rightknee-x,leftankle-z,leftankle-y,leftankle-x,rightankle-z,rightankle-y,rightankle-x,output
1.567382813,1.850585938,2.36328125,1.684570313,1.665039063,2.094726563,0.009765625,0.009765625,0.014648438,1.684570313,1.665039063,2.094726563,1.962890625,1.513671875,1.625976563,1
1.733398438,1.762695313,1.997070313,1.645507813,1.689453125,2.24609375,0.004882813,0.004882813,0.01953125,1.645507813,1.689453125,2.24609375,1.943359375,1.606445313,1.728515625,1
1.787109375,1.923828125,2.119140625,1.62109375,1.791992188,2.006835938,0.009765625,0.009765625,0.01953125,1.62109375,1.791992188,2.006835938,1.9140625,1.655273438,1.81640625,1
1.40625,2.065429688,1.879882813,1.645507813,1.674804688,2.104492188,0.028747559,0.014648438,0.014648438,1.645507813,1.674804688,2.104492188,2.016601563,1.606445313,1.6796875,1
1.71875,1.782226563,2.03125,1.762695313,1.73828125,2.475585938,0.009765625,0.004882813,0.01953125,1.762695313,1.73828125,2.475585938,2.006835938,1.420898438,1.611328125,1
1.6796875,1.787109375,1.9921875,1.616210938,1.704101563,2.021484375,0.028747559,0.009765625,0.024414063,1.616210938,1.704101563,2.021484375,1.938476563,1.635742188,1.840820313,1
1.767578125,1.284179688,2.153320313,1.494140625,1.791992188,2.260742188,0.01953125,0.02813721,0.01953125,1.494140625,1.791992188,2.260742188,1.958007813,1.630859375,1.77734375,1
1.66015625,1.767578125,2.041015625,2.109375,1.547851563,2.03125,0.009765625,0.014648438,0.01953125,2.109375,1.547851563,2.03125,2.036132813,1.58203125,1.89453125,1
1.689453125,1.71875,1.806640625,1.645507813,1.723632813,2.016601563,0.009765625,0.014648438,0.029296875,1.645507813,1.723632813,2.016601563,2.016601563,1.596679688,1.704101563,1
1.435546875,1.77734375,2.060546875,1.557617188,1.733398438,1.791992188,0.009765625,0.014648438,0.014648438,1.557617188,1.733398438,1.791992188,1.948242188,1.625976563,1.772460938,1
1.669921875,1.73828125,2.084960938,0.9765625,1.484375,2.20703125,0.014648438,0.004882813,0.029296875,0.9765625,1.484375,2.20703125,1.948242188,1.611328125,1.752929688,1
1.689453125,1.704101563,2.016601563,1.669921875,1.689453125,2.016601563,0.028747559,0.009765625,0.034179688,1.669921875,1.689453125,2.016601563,1.987304688,1.518554688,1.640625,1
